20180801|NVO|262487
20180802|NVO|115941
20180803|NVO|98242
20180806|NVO|96983
20180807|NVO|155011
20180808|NVO|439597
20180809|NVO|211117
20180810|NVO|159700
20180813|NVO|250913
20180814|NVO|363331
20180815|NVO|174830
20180816|NVO|108764
20180817|NVO|104386
20180820|NVO|125907
20180821|NVO|358815
20180822|NVO|130686
20180823|NVO|167507
20180824|NVO|94554
20180827|NVO|128154
20180828|NVO|71971
20180829|NVO|111864
20180830|NVO|55927
20180831|NVO|71555
20180904|NVO|136012
20180905|NVO|134074
20180906|NVO|67045
20180907|NVO|126555
20180910|NVO|205804
20180911|NVO|174450
20180912|NVO|507378
20180913|NVO|159472
20180914|NVO|131702
20180917|NVO|142621
20180918|NVO|212407
20180919|NVO|117544
20180920|NVO|129796
20180921|NVO|92717
20180924|NVO|200330
20180925|NVO|174441
20180926|NVO|93251
20180927|NVO|191564
20180928|NVO|43912
20181001|NVO|128205
20181002|NVO|219426
20181003|NVO|65712
20181004|NVO|781092
20181005|NVO|247405
20181008|NVO|305847
20181009|NVO|284098
20181010|NVO|85133
20181011|NVO|349942
20181012|NVO|219345
20181015|NVO|93092
20181016|NVO|288680
20181017|NVO|117774
20181018|NVO|129450
20181019|NVO|163406
20181022|NVO|45444
20181023|NVO|133302
20181024|NVO|87282
20181025|NVO|257432
20181026|NVO|105867
20181029|NVO|99673
20181030|NVO|84645
20181031|NVO|184671
20181101|NVO|190619
20181102|NVO|163661
20181105|NVO|427612
20181106|NVO|118637
20181107|NVO|123508
20181108|NVO|92191
20181109|NVO|158187
20181112|NVO|114663
20181113|NVO|212505
20181114|NVO|120581
20181115|NVO|155781
20181116|NVO|95987
20181119|NVO|234444
20181120|NVO|294463
20181121|NVO|57314
20181123|NVO|297334
20181126|NVO|340372
20181127|NVO|317885
20181128|NVO|270940
20181129|NVO|134343
20181130|NVO|140360
20181203|NVO|77639
20181204|NVO|193366
20181206|NVO|134788
20181207|NVO|197851
20181210|NVO|136133
20181211|NVO|148299
20181212|NVO|341222
20181213|NVO|772677
20181214|NVO|637616
20181217|NVO|434157
20181218|NVO|204203
20181219|NVO|226055
20181220|NVO|251000
20181221|NVO|180419
20181224|NVO|72357
20181226|NVO|115158
20181227|NVO|131420
20181228|NVO|83882
20181231|NVO|61259
20190102|NVO|156799
20190103|NVO|295358
20190104|NVO|244402
20190107|NVO|291258
20190108|NVO|245833
20190109|NVO|145576
20190110|NVO|129977
20190111|NVO|181861
20190114|NVO|279011
20190115|NVO|117543
20190116|NVO|112590
20190117|NVO|139484
20190118|NVO|383222
20190122|NVO|366300
20190123|NVO|315586
20190124|NVO|595958
20190125|NVO|435601
20190128|NVO|201001
20190129|NVO|133664
20190130|NVO|180206
20190131|NVO|359051
20190201|NVO|176266
20190204|NVO|188154
20190205|NVO|122302
20190206|NVO|183446
20190207|NVO|228016
20190208|NVO|114969
20190211|NVO|150686
20190212|NVO|184682
