20180801|FNGU|57240
20180802|FNGU|63313
20180803|FNGU|18893
20180806|FNGU|13899
20180807|FNGU|30737
20180808|FNGU|5644
20180809|FNGU|6609
20180810|FNGU|1154
20180813|FNGU|4249
20180814|FNGU|4267
20180815|FNGU|11061
20180816|FNGU|7283
20180817|FNGU|16200
20180820|FNGU|13193
20180821|FNGU|21937
20180822|FNGU|10900
20180823|FNGU|12182
20180824|FNGU|10325
20180827|FNGU|14671
20180828|FNGU|1899
20180829|FNGU|12220
20180830|FNGU|9882
20180831|FNGU|5687
20180904|FNGU|8171
20180905|FNGU|14904
20180906|FNGU|66757
20180907|FNGU|50920
20180910|FNGU|13130
20180911|FNGU|31862
20180912|FNGU|13628
20180913|FNGU|20371
20180914|FNGU|3545
20180917|FNGU|23298
20180918|FNGU|11209
20180919|FNGU|4356
20180920|FNGU|9234
20180921|FNGU|2591
20180924|FNGU|4787
20180925|FNGU|5272
20180926|FNGU|8714
20180927|FNGU|3836
20180928|FNGU|16727
20181001|FNGU|7355
20181002|FNGU|15974
20181003|FNGU|6607
20181004|FNGU|46834
20181005|FNGU|65648
20181008|FNGU|60509
20181009|FNGU|29834
20181010|FNGU|115431
20181011|FNGU|145584
20181012|FNGU|56022
20181015|FNGU|39760
20181016|FNGU|65157
20181017|FNGU|55089
20181018|FNGU|44519
20181019|FNGU|70076
20181022|FNGU|28806
20181023|FNGU|34020
20181024|FNGU|85911
20181025|FNGU|69985
20181026|FNGU|89433
20181029|FNGU|73001
20181030|FNGU|77305
20181031|FNGU|73051
20181101|FNGU|44158
20181102|FNGU|51077
20181105|FNGU|43062
20181106|FNGU|33248
20181107|FNGU|46495
20181108|FNGU|33819
20181109|FNGU|14447
20181112|FNGU|98940
20181113|FNGU|33329
20181114|FNGU|46180
20181115|FNGU|48779
20181116|FNGU|76578
20181119|FNGU|111674
20181120|FNGU|86570
20181121|FNGU|43837
20181123|FNGU|19175
20181126|FNGU|57782
20181127|FNGU|33716
20181128|FNGU|52882
20181129|FNGU|26300
20181130|FNGU|32018
20181203|FNGU|48159
20181204|FNGU|21377
20181206|FNGU|34753
20181207|FNGU|39576
20181210|FNGU|61674
20181211|FNGU|52217
20181212|FNGU|87957
20181213|FNGU|67140
20181214|FNGU|51258
20181217|FNGU|67451
20181218|FNGU|58622
20181219|FNGU|57068
20181220|FNGU|134583
20181221|FNGU|95620
20181224|FNGU|99592
20181226|FNGU|136350
20181227|FNGU|118120
20181228|FNGU|247045
20181231|FNGU|49506
20190102|FNGU|43930
20190103|FNGU|19564
20190104|FNGU|63243
20190107|FNGU|72048
20190108|FNGU|405614
20190109|FNGU|176321
20190110|FNGU|272249
20190111|FNGU|134057
20190114|FNGU|25112
20190115|FNGU|68421
20190116|FNGU|80761
20190117|FNGU|39922
20190118|FNGU|56796
20190122|FNGU|61718
20190123|FNGU|43848
20190124|FNGU|34279
20190125|FNGU|46509
20190128|FNGU|37324
20190129|FNGU|66621
20190130|FNGU|89796
20190131|FNGU|93662
20190201|FNGU|20005
20190204|FNGU|45081
20190205|FNGU|50705
20190206|FNGU|39826
20190207|FNGU|78737
20190208|FNGU|41505
20190211|FNGU|28281
20190212|FNGU|58333
20190213|FNGU|41902
20190214|FNGU|54152
20190215|FNGU|37399
20190219|FNGU|28959
20190220|FNGU|38057
20190221|FNGU|44725
20190222|FNGU|23913
20190225|FNGU|44499
20190226|FNGU|13202
20190227|FNGU|23023
20190228|FNGU|10776
20190301|FNGU|29194
20190304|FNGU|40723
20190305|FNGU|35237
20190306|FNGU|20619
20190307|FNGU|17195
20190308|FNGU|33097
20190311|FNGU|48590
20190312|FNGU|28114
20190313|FNGU|53605
20190314|FNGU|21956
20190315|FNGU|20780
20190318|FNGU|20086
20190319|FNGU|17408
20190320|FNGU|68477
20190321|FNGU|64519
20190322|FNGU|52627
20190325|FNGU|24006
20190326|FNGU|44697
20190327|FNGU|21940
20190328|FNGU|21591
20190329|FNGU|19622
20190401|FNGU|21382
20190402|FNGU|37443
20190403|FNGU|46881
20190404|FNGU|24106
20190405|FNGU|17599
20190408|FNGU|23386
20190409|FNGU|48157
20190410|FNGU|30995
20190411|FNGU|22501
20190412|FNGU|19518
20190415|FNGU|54159
20190416|FNGU|38935
20190417|FNGU|12903
20190418|FNGU|4987
20190422|FNGU|15410
20190423|FNGU|32778
20190424|FNGU|15827
20190425|FNGU|33298
20190426|FNGU|10697
20190429|FNGU|20608
20190430|FNGU|26619
20190501|FNGU|24154
20190502|FNGU|33389
20190503|FNGU|26552
20190506|FNGU|33467
20190507|FNGU|94905
20190508|FNGU|83142
20190509|FNGU|78357
20190510|FNGU|114901
20190513|FNGU|114689
20190514|FNGU|58258
20190515|FNGU|38518
20190516|FNGU|96858
20190517|FNGU|147133
20190520|FNGU|70270
20190521|FNGU|39007
20190522|FNGU|29007
20190523|FNGU|66964
20190524|FNGU|19580
20190528|FNGU|34058
20190529|FNGU|45117
20190530|FNGU|24137
20190531|FNGU|99389
20190603|FNGU|165752
20190604|FNGU|123634
20190605|FNGU|66941
20190606|FNGU|36492
20190607|FNGU|103454
20190610|FNGU|79701
20190611|FNGU|80821
20190612|FNGU|28129
20190613|FNGU|46069
