20180801|AVGO|387985
20180802|AVGO|316048
20180803|AVGO|219063
20180806|AVGO|150250
20180807|AVGO|201836
20180808|AVGO|139017
20180809|AVGO|201355
20180810|AVGO|324036
20180813|AVGO|207729
20180814|AVGO|207750
20180815|AVGO|216489
20180816|AVGO|242673
20180817|AVGO|222395
20180820|AVGO|309410
20180821|AVGO|187864
20180822|AVGO|329052
20180823|AVGO|291147
20180824|AVGO|174810
20180827|AVGO|228753
20180828|AVGO|155782
20180829|AVGO|122590
20180830|AVGO|253786
20180831|AVGO|264726
20180904|AVGO|408086
20180905|AVGO|536484
20180906|AVGO|948034
20180907|AVGO|981111
20180910|AVGO|425114
20180911|AVGO|539185
20180912|AVGO|346472
20180913|AVGO|418441
20180914|AVGO|105190
20180917|AVGO|220127
20180918|AVGO|358393
20180919|AVGO|269557
20180920|AVGO|221829
20180921|AVGO|445657
20180924|AVGO|333817
20180925|AVGO|258321
20180926|AVGO|293598
20180927|AVGO|240034
20180928|AVGO|166818
20181001|AVGO|234806
20181002|AVGO|206950
20181003|AVGO|134030
20181004|AVGO|256513
20181005|AVGO|390023
20181008|AVGO|271210
20181009|AVGO|194156
20181010|AVGO|581115
20181011|AVGO|357409
20181012|AVGO|329863
20181015|AVGO|233980
20181016|AVGO|175764
20181017|AVGO|126103
20181018|AVGO|300210
20181019|AVGO|246217
20181022|AVGO|155857
20181023|AVGO|202555
20181024|AVGO|240573
20181025|AVGO|126799
20181026|AVGO|538355
20181029|AVGO|207709
20181030|AVGO|120287
20181031|AVGO|277099
20181101|AVGO|289574
20181102|AVGO|436811
20181105|AVGO|317729
20181106|AVGO|334823
20181107|AVGO|468519
20181108|AVGO|375598
20181109|AVGO|367454
20181112|AVGO|748796
20181113|AVGO|256180
20181114|AVGO|226204
20181115|AVGO|381208
20181116|AVGO|234835
20181119|AVGO|227783
20181120|AVGO|249202
20181121|AVGO|201065
20181123|AVGO|51493
20181126|AVGO|229473
20181127|AVGO|168079
20181128|AVGO|178435
20181129|AVGO|128547
20181130|AVGO|289452
20181203|AVGO|266807
20181204|AVGO|268794
20181206|AVGO|799695
20181207|AVGO|851973
20181210|AVGO|504584
20181211|AVGO|491978
20181212|AVGO|579746
20181213|AVGO|483218
20181214|AVGO|435606
20181217|AVGO|1053107
20181218|AVGO|607008
20181219|AVGO|543933
20181220|AVGO|626142
20181221|AVGO|767287
20181224|AVGO|334040
20181226|AVGO|448492
20181227|AVGO|683019
20181228|AVGO|471156
20181231|AVGO|298197
20190102|AVGO|327897
20190103|AVGO|811457
20190104|AVGO|640348
20190107|AVGO|612948
20190108|AVGO|343123
20190109|AVGO|483628
20190110|AVGO|349748
20190111|AVGO|267921
20190114|AVGO|246632
20190115|AVGO|677253
20190116|AVGO|295429
20190117|AVGO|377603
20190118|AVGO|365743
20190122|AVGO|315208
20190123|AVGO|268028
20190124|AVGO|477826
20190125|AVGO|283793
20190128|AVGO|535195
20190129|AVGO|293624
20190130|AVGO|362105
20190131|AVGO|228520
20190201|AVGO|179615
20190204|AVGO|283788
20190205|AVGO|264196
20190206|AVGO|366301
20190207|AVGO|402449
20190208|AVGO|291109
20190211|AVGO|158997
20190212|AVGO|189210
20190213|AVGO|302684
20190214|AVGO|251901
20190215|AVGO|179313
20190219|AVGO|114575
20190220|AVGO|195888
20190221|AVGO|125850
20190222|AVGO|297860
20190225|AVGO|172207
20190226|AVGO|207999
20190227|AVGO|264414
20190228|AVGO|313300
20190301|AVGO|188360
20190304|AVGO|254974
20190305|AVGO|339930
20190306|AVGO|329393
20190307|AVGO|263363
20190308|AVGO|252386
20190311|AVGO|269290
20190312|AVGO|235175
20190313|AVGO|470474
20190314|AVGO|431586
20190315|AVGO|1725712
20190318|AVGO|765086
20190319|AVGO|658805
20190320|AVGO|413451
20190321|AVGO|374106
20190322|AVGO|273509
20190325|AVGO|174610
20190326|AVGO|259405
20190327|AVGO|244040
20190328|AVGO|431723
20190329|AVGO|285990
20190401|AVGO|304042
20190402|AVGO|175213
20190403|AVGO|217941
20190404|AVGO|157602
20190405|AVGO|206065
20190408|AVGO|117622
20190409|AVGO|100129
20190410|AVGO|149308
20190411|AVGO|178365
20190412|AVGO|452439
20190415|AVGO|180228
20190416|AVGO|196714
20190417|AVGO|168045
20190418|AVGO|268286
20190422|AVGO|141643
20190423|AVGO|131264
20190424|AVGO|253979
20190425|AVGO|455746
20190426|AVGO|135790
20190429|AVGO|157709
20190430|AVGO|154124
20190501|AVGO|203644
20190502|AVGO|186520
20190503|AVGO|144014
20190506|AVGO|150791
20190507|AVGO|217691
20190508|AVGO|151428
20190509|AVGO|327112
20190510|AVGO|267843
20190513|AVGO|382719
20190514|AVGO|381280
20190515|AVGO|157033
20190516|AVGO|294508
20190517|AVGO|317986
20190520|AVGO|794515
20190521|AVGO|204871
20190522|AVGO|388628
20190523|AVGO|473992
20190524|AVGO|212184
20190528|AVGO|680230
20190529|AVGO|261369
20190530|AVGO|216644
20190531|AVGO|190974
20190603|AVGO|362891
20190604|AVGO|566149
20190605|AVGO|353438
20190606|AVGO|392333
20190607|AVGO|348242
20190610|AVGO|311344
20190611|AVGO|646627
20190612|AVGO|312840
20190613|AVGO|615080
20190614|AVGO|2294703
20190617|AVGO|685231
20190618|AVGO|872698
20190619|AVGO|311110
20190620|AVGO|2651552
20190621|AVGO|383600
20190624|AVGO|209561
20190625|AVGO|275926
20190626|AVGO|209271
20190627|AVGO|294068
20190628|AVGO|256451
20190701|AVGO|744093
20190702|AVGO|228062
20190703|AVGO|549560
20190705|AVGO|222575
20190708|AVGO|444107
20190709|AVGO|224454
20190710|AVGO|253736
20190711|AVGO|239804
20190712|AVGO|306420
20190715|AVGO|421190
20190716|AVGO|190783
20190717|AVGO|162022
20190718|AVGO|181008
20190719|AVGO|175772
20190722|AVGO|281342
20190723|AVGO|232125
20190724|AVGO|178740
20190725|AVGO|138674
20190726|AVGO|161831
20190729|AVGO|87262
20190730|AVGO|77083
20190731|AVGO|195928
20190801|AVGO|192426
20190802|AVGO|148481
20190805|AVGO|272936
20190806|AVGO|189611
20190807|AVGO|231790
20190808|AVGO|266184
20190809|AVGO|387933
20190812|AVGO|213479
20190813|AVGO|294640
20190814|AVGO|290604
20190815|AVGO|155012
20190816|AVGO|122292
20190819|AVGO|170767
20190820|AVGO|155627
20190821|AVGO|291108
20190822|AVGO|125722
20190823|AVGO|291068
20190826|AVGO|146103
20190827|AVGO|130698
20190828|AVGO|137885
20190829|AVGO|192641
20190830|AVGO|137637
20190903|AVGO|178148
20190904|AVGO|160135
20190905|AVGO|203253
20190906|AVGO|160106
20190909|AVGO|222034
20190910|AVGO|189767
20190911|AVGO|208163
20190912|AVGO|492645
20190913|AVGO|1332895
20190916|AVGO|243058
20190917|AVGO|345074
20190918|AVGO|180507
20190919|AVGO|248575
20190920|AVGO|279532
20190923|AVGO|131646
20190924|AVGO|187803
20190925|AVGO|1262147
20190926|AVGO|762615
20190927|AVGO|771545
20190930|AVGO|210169
20191001|AVGO|285589
20191002|AVGO|235935
20191003|AVGO|271945
20191004|AVGO|489535
20191007|AVGO|199192
20191008|AVGO|451530
20191009|AVGO|163281
20191010|AVGO|277863
20191011|AVGO|286855
20191014|AVGO|121058
20191015|AVGO|346239
20191016|AVGO|230008
20191017|AVGO|256273
20191018|AVGO|171454
20191021|AVGO|194978
20191022|AVGO|149074
20191023|AVGO|241743
20191024|AVGO|249691
20191025|AVGO|341138
20191028|AVGO|145554
20191029|AVGO|159936
20191030|AVGO|457933
20191031|AVGO|545922
20191101|AVGO|275292
20191104|AVGO|447627
20191105|AVGO|602155
20191106|AVGO|182308
20191107|AVGO|217982
20191108|AVGO|275230
20191111|AVGO|101068
20191112|AVGO|182909
20191113|AVGO|130934
20191114|AVGO|229105
20191115|AVGO|141193
20191118|AVGO|141291
20191119|AVGO|508606
20191120|AVGO|226909
20191121|AVGO|313066
20191122|AVGO|170199
20191125|AVGO|161518
20191126|AVGO|135944
20191127|AVGO|211450
20191129|AVGO|87210
20191202|AVGO|279080
20191203|AVGO|149706
20191204|AVGO|165477
20191205|AVGO|181155
20191206|AVGO|189365
20191209|AVGO|269306
20191210|AVGO|194014
20191211|AVGO|289773
20191212|AVGO|606494
20191213|AVGO|1757751
20191216|AVGO|433127
20191217|AVGO|261260
20191218|AVGO|527685
20191219|AVGO|1070479
20191220|AVGO|419311
20191223|AVGO|158299
20191224|AVGO|97656
20191226|AVGO|161568
20191227|AVGO|151461
20191230|AVGO|124655
20191231|AVGO|93734
20200102|AVGO|221713
20200103|AVGO|235923
20200106|AVGO|152505
20200107|AVGO|148398
20200108|AVGO|234254
20200109|AVGO|398560
20200110|AVGO|399194
20200113|AVGO|205539
20200114|AVGO|260354
20200115|AVGO|327528
20200116|AVGO|145548
20200117|AVGO|238750
20200121|AVGO|272030
20200122|AVGO|366442
20200123|AVGO|383149
20200124|AVGO|1093774
20200127|AVGO|477025
20200128|AVGO|209320
20200129|AVGO|308599
20200130|AVGO|217068
20200131|AVGO|218649
20200203|AVGO|165561
20200204|AVGO|156446
20200205|AVGO|133182
20200206|AVGO|183774
20200207|AVGO|217858
20200210|AVGO|158119
20200211|AVGO|214955
20200212|AVGO|219630
20200213|AVGO|192730
20200214|AVGO|256496
20200218|AVGO|386474
20200219|AVGO|242867
20200220|AVGO|282944
20200221|AVGO|313362
20200224|AVGO|301507
20200225|AVGO|237946
20200226|AVGO|273235
20200227|AVGO|271597
20200228|AVGO|330296
20200302|AVGO|359906
20200303|AVGO|320445
20200304|AVGO|225006
20200305|AVGO|213812
20200306|AVGO|363114
20200309|AVGO|410069
20200310|AVGO|419535
20200311|AVGO|430872
20200312|AVGO|612053
20200313|AVGO|1053740
20200316|AVGO|641457
20200317|AVGO|659789
20200318|AVGO|826303
20200319|AVGO|712443
20200320|AVGO|1337443
20200323|AVGO|590854
20200324|AVGO|750456
20200325|AVGO|1100132
20200326|AVGO|792891
20200327|AVGO|615854
20200330|AVGO|803366
20200331|AVGO|1066205
20200401|AVGO|675693
20200402|AVGO|811761
20200403|AVGO|755878
20200406|AVGO|617543
20200407|AVGO|632345
20200408|AVGO|399789
20200409|AVGO|584251
